Model Type: PSA1302,
File Version Number...: X02-02,
Trace Type: Live,
Start Frequency: 0868.0000 MHz,
Stop Frequency: 0870.0000 MHz,
RBW:    15kHz,
Auto RBW:  Off,
Video Filter:       On,
Prefs Trace CSV:   Absolute,
Reference Level:     0dBm,
Fixed Offset: Off,-010.0dB,
Graticule Scale:   10dB/div,
Graticule Shift: 00,
0868.0000,-076.5
0868.0070,-076.7
0868.0150,-077.1
0868.0220,-077.0
0868.0300,-076.7
0868.0370,-077.0
0868.0440,-076.5
0868.0520,-076.7
0868.0590,-076.9
0868.0670,-076.5
0868.0740,-076.5
0868.0810,-077.0
0868.0890,-076.8
0868.0960,-076.3
0868.1040,-077.1
0868.1110,-077.3
0868.1190,-077.0
0868.1260,-076.1
0868.1330,-077.2
0868.1410,-076.9
0868.1480,-076.9
0868.1560,-075.5
0868.1630,-076.7
0868.1700,-076.4
0868.1780,-076.5
0868.1850,-076.3
0868.1930,-076.3
0868.2000,-076.7
0868.2070,-076.7
0868.2150,-076.7
0868.2220,-076.6
0868.2300,-076.7
0868.2370,-077.0
0868.2440,-077.4
0868.2520,-076.5
0868.2590,-076.8
0868.2670,-076.9
0868.2740,-077.2
0868.2810,-076.8
0868.2890,-076.5
0868.2960,-076.4
0868.3040,-076.9
0868.3110,-076.4
0868.3190,-076.3
0868.3260,-076.2
0868.3330,-076.3
0868.3410,-075.9
0868.3480,-076.0
0868.3560,-076.5
0868.3630,-075.0
0868.3700,-076.7
0868.3780,-077.1
0868.3850,-076.6
0868.3930,-076.2
0868.4000,-076.5
0868.4070,-076.5
0868.4150,-075.7
0868.4220,-075.1
0868.4300,-075.4
0868.4370,-075.3
0868.4440,-074.5
0868.4520,-072.0
0868.4590,-073.2
0868.4670,-074.3
0868.4740,-074.4
0868.4810,-075.6
0868.4890,-075.9
0868.4960,-076.2
0868.5040,-074.7
0868.5110,-075.7
0868.5190,-075.6
0868.5260,-074.0
0868.5330,-074.2
0868.5410,-074.1
0868.5480,-074.7
0868.5560,-074.1
0868.5630,-071.6
0868.5700,-071.0
0868.5780,-072.4
0868.5850,-073.0
0868.5930,-073.5
0868.6000,-072.5
0868.6070,-067.1
0868.6150,-063.3
0868.6220,-063.1
0868.6300,-065.4
0868.6370,-072.8
0868.6440,-071.2
0868.6520,-071.3
0868.6590,-069.4
0868.6670,-068.2
0868.6740,-069.6
0868.6810,-068.8
0868.6890,-066.7
0868.6960,-063.6
0868.7040,-062.8
0868.7110,-061.3
0868.7190,-060.1
0868.7260,-061.2
0868.7330,-060.5
0868.7410,-058.2
0868.7480,-059.5
0868.7560,-056.7
0868.7630,-057.2
0868.7700,-053.9
0868.7780,-051.7
0868.7850,-052.4
0868.7930,-053.5
0868.8000,-053.3
0868.8070,-053.9
0868.8150,-052.4
0868.8220,-053.1
0868.8300,-054.3
0868.8370,-053.9
0868.8440,-051.5
0868.8520,-052.2
0868.8590,-051.1
0868.8670,-042.3
0868.8740,-037.6
0868.8810,-037.9
0868.8890,-039.3
0868.8960,-050.1
0868.9040,-049.1
0868.9110,-050.3
0868.9190,-051.7
0868.9260,-054.2
0868.9330,-051.3
0868.9410,-048.7
0868.9480,-048.2
0868.9560,-048.8
0868.9630,-048.0
0868.9700,-047.4
0868.9780,-047.2
0868.9850,-048.6
0868.9930,-047.8
0869.0000,-047.3
0869.0070,-049.3
0869.0150,-047.5
0869.0220,-047.1
0869.0300,-046.1
0869.0370,-046.5
0869.0440,-046.5
0869.0520,-048.8
0869.0590,-049.1
0869.0670,-049.7
0869.0740,-049.7
0869.0810,-049.9
0869.0890,-051.8
0869.0960,-051.3
0869.1040,-051.2
0869.1110,-052.2
0869.1190,-052.5
0869.1260,-045.6
0869.1330,-039.2
0869.1410,-039.0
0869.1480,-040.3
0869.1560,-049.0
0869.1630,-052.7
0869.1700,-052.3
0869.1780,-052.0
0869.1850,-054.2
0869.1930,-053.6
0869.2000,-051.4
0869.2070,-051.0
0869.2150,-053.1
0869.2220,-053.3
0869.2300,-052.9
0869.2370,-053.3
0869.2440,-055.4
0869.2520,-056.4
0869.2590,-055.4
0869.2670,-056.6
0869.2740,-057.2
0869.2810,-057.5
0869.2890,-060.4
0869.2960,-061.1
0869.3040,-062.4
0869.3110,-063.8
0869.3190,-064.6
0869.3260,-065.5
0869.3330,-067.7
0869.3410,-068.2
0869.3480,-067.4
0869.3560,-069.2
0869.3630,-070.1
0869.3700,-068.8
0869.3780,-071.2
0869.3850,-068.1
0869.3930,-063.1
0869.4000,-064.2
0869.4070,-065.0
0869.4150,-071.7
0869.4220,-072.9
0869.4300,-072.7
0869.4370,-073.1
0869.4440,-073.0
0869.4520,-072.6
0869.4590,-072.4
0869.4670,-073.6
0869.4740,-073.7
0869.4810,-074.8
0869.4890,-073.3
0869.4960,-074.9
0869.5040,-074.5
0869.5110,-075.4
0869.5190,-074.0
0869.5260,-075.2
0869.5330,-074.8
0869.5410,-075.6
0869.5480,-074.5
0869.5560,-073.3
0869.5630,-072.9
0869.5700,-073.5
0869.5780,-074.1
0869.5850,-074.0
0869.5930,-075.7
0869.6000,-074.7
0869.6070,-075.6
0869.6150,-075.4
0869.6220,-075.4
0869.6300,-076.0
0869.6370,-075.6
0869.6440,-076.4
0869.6520,-075.7
0869.6590,-076.3
0869.6670,-075.4
0869.6740,-075.4
0869.6810,-075.5
0869.6890,-076.0
0869.6960,-075.4
0869.7040,-076.2
0869.7110,-076.3
0869.7190,-076.3
0869.7260,-075.0
0869.7330,-075.1
0869.7410,-076.0
0869.7480,-075.6
0869.7560,-076.2
