Model Type: PSA1302,
File Version Number...: X02-02,
Trace Type: Live,
Start Frequency: 0867.0000 MHz,
Stop Frequency: 0870.0000 MHz,
RBW:     1MHz,
Auto RBW:  Off,
Video Filter:       On,
Prefs Trace CSV:   Absolute,
Reference Level:     0dBm,
Fixed Offset: Off,-010.0dB,
Graticule Scale:   10dB/div,
Graticule Shift: 00,
0867.0000,-064.2
0867.0110,-064.3
0867.0220,-064.1
0867.0330,-064.2
0867.0440,-064.2
0867.0560,-064.3
0867.0670,-064.2
0867.0780,-064.3
0867.0890,-063.8
0867.1000,-063.9
0867.1110,-064.3
0867.1220,-064.2
0867.1330,-064.2
0867.1440,-064.1
0867.1560,-064.4
0867.1670,-064.3
0867.1780,-064.1
0867.1890,-064.2
0867.2000,-064.4
0867.2110,-064.2
0867.2220,-064.2
0867.2330,-063.9
0867.2440,-064.3
0867.2560,-064.3
0867.2670,-063.8
0867.2780,-064.3
0867.2890,-064.1
0867.3000,-064.2
0867.3110,-064.4
0867.3220,-064.2
0867.3330,-064.1
0867.3440,-064.2
0867.3560,-064.3
0867.3670,-064.4
0867.3780,-064.2
0867.3890,-064.1
0867.4000,-064.3
0867.4110,-064.3
0867.4220,-064.3
0867.4330,-064.2
0867.4440,-064.2
0867.4560,-064.2
0867.4670,-064.4
0867.4780,-064.2
0867.4890,-064.2
0867.5000,-064.2
0867.5110,-064.3
0867.5220,-064.2
0867.5330,-064.2
0867.5440,-064.3
0867.5560,-064.3
0867.5670,-064.1
0867.5780,-064.2
0867.5890,-064.2
0867.6000,-063.9
0867.6110,-064.2
0867.6220,-064.1
0867.6330,-064.3
0867.6440,-064.2
0867.6560,-064.2
0867.6670,-064.2
0867.6780,-064.1
0867.6890,-064.2
0867.7000,-064.2
0867.7110,-064.2
0867.7220,-064.4
0867.7330,-064.4
0867.7440,-064.2
0867.7560,-064.2
0867.7670,-063.9
0867.7780,-064.2
0867.7890,-064.3
0867.8000,-064.2
0867.8110,-064.2
0867.8220,-064.2
0867.8330,-064.2
0867.8440,-064.2
0867.8560,-064.3
0867.8670,-064.4
0867.8780,-064.1
0867.8890,-064.1
0867.9000,-064.3
0867.9110,-064.2
0867.9220,-064.2
0867.9330,-064.2
0867.9440,-064.0
0867.9560,-064.3
0867.9670,-064.2
0867.9780,-064.2
0867.9890,-064.2
0868.0000,-063.9
0868.0110,-064.1
0868.0220,-064.0
0868.0330,-063.7
0868.0440,-063.6
0868.0560,-063.8
0868.0670,-063.4
0868.0780,-063.2
0868.0890,-063.0
0868.1000,-062.7
0868.1110,-062.4
0868.1220,-062.3
0868.1330,-061.7
0868.1440,-061.4
0868.1560,-061.2
0868.1670,-060.6
0868.1780,-060.1
0868.1890,-059.8
0868.2000,-059.5
0868.2110,-059.3
0868.2220,-058.6
0868.2330,-057.8
0868.2440,-057.6
0868.2560,-056.9
0868.2670,-056.2
0868.2780,-055.9
0868.2890,-055.0
0868.3000,-054.6
0868.3110,-054.2
0868.3220,-053.5
0868.3330,-052.9
0868.3440,-052.3
0868.3560,-051.6
0868.3670,-051.1
0868.3780,-050.6
0868.3890,-050.0
0868.4000,-049.6
0868.4110,-049.2
0868.4220,-048.9
0868.4330,-048.8
0868.4440,-048.4
0868.4560,-048.0
0868.4670,-047.7
0868.4780,-047.4
0868.4890,-047.1
0868.5000,-046.7
0868.5110,-046.3
0868.5220,-046.0
0868.5330,-045.8
0868.5440,-045.6
0868.5560,-045.2
0868.5670,-045.0
0868.5780,-044.8
0868.5890,-044.5
0868.6000,-044.4
0868.6110,-044.2
0868.6220,-044.0
0868.6330,-043.8
0868.6440,-043.7
0868.6560,-043.6
0868.6670,-043.3
0868.6780,-043.3
0868.6890,-043.3
0868.7000,-043.1
0868.7110,-043.1
0868.7220,-043.0
0868.7330,-043.0
0868.7440,-043.0
0868.7560,-043.0
0868.7670,-042.9
0868.7780,-043.0
0868.7890,-043.2
0868.8000,-042.8
0868.8110,-042.9
0868.8220,-042.8
0868.8330,-042.7
0868.8440,-042.8
0868.8560,-042.8
0868.8670,-042.6
0868.8780,-042.7
0868.8890,-042.7
0868.9000,-042.8
0868.9110,-042.6
0868.9220,-042.8
0868.9330,-042.7
0868.9440,-042.8
0868.9560,-042.7
0868.9670,-042.8
0868.9780,-042.9
0868.9890,-042.9
0869.0000,-042.9
0869.0110,-042.8
0869.0220,-042.9
0869.0330,-043.1
0869.0440,-043.1
0869.0560,-043.3
0869.0670,-043.0
0869.0780,-043.3
0869.0890,-043.4
0869.1000,-043.4
0869.1110,-043.5
0869.1220,-043.2
0869.1330,-043.5
0869.1440,-043.4
0869.1560,-043.5
0869.1670,-043.5
0869.1780,-043.7
0869.1890,-043.6
0869.2000,-043.8
0869.2110,-043.8
0869.2220,-043.7
0869.2330,-043.9
0869.2440,-044.1
0869.2560,-044.1
0869.2670,-044.4
0869.2780,-044.5
0869.2890,-044.9
0869.3000,-044.8
0869.3110,-045.2
0869.3220,-045.4
0869.3330,-045.8
0869.3440,-046.1
0869.3560,-046.0
0869.3670,-046.5
0869.3780,-046.6
0869.3890,-047.0
0869.4000,-047.0
0869.4110,-047.4
0869.4220,-047.5
0869.4330,-047.8
0869.4440,-048.0
0869.4560,-048.3
0869.4670,-048.4
0869.4780,-049.2
0869.4890,-048.9
0869.5000,-049.3
0869.5110,-049.9
0869.5220,-050.1
0869.5330,-050.1
0869.5440,-051.0
0869.5560,-051.6
0869.5670,-051.8
0869.5780,-052.2
0869.5890,-053.1
0869.6000,-053.5
0869.6110,-054.1
0869.6220,-054.8
0869.6330,-055.4
