Model Type: PSA1302,
File Version Number...: X02-02,
Trace Type: Live,
Start Frequency: 0866.5000 MHz,
Stop Frequency: 0869.5000 MHz,
RBW:     1MHz,
Auto RBW:  Off,
Video Filter:       On,
Prefs Trace CSV:   Absolute,
Reference Level:     0dBm,
Fixed Offset: Off,-010.0dB,
Graticule Scale:   10dB/div,
Graticule Shift: 00,
0866.5000,-064.0
0866.5110,-064.1
0866.5220,-064.0
0866.5330,-063.6
0866.5440,-063.9
0866.5560,-064.0
0866.5670,-064.1
0866.5780,-064.2
0866.5890,-064.2
0866.6000,-063.7
0866.6110,-064.2
0866.6220,-064.1
0866.6330,-063.7
0866.6440,-064.2
0866.6560,-063.9
0866.6670,-064.1
0866.6780,-064.0
0866.6890,-064.0
0866.7000,-064.0
0866.7110,-064.0
0866.7220,-064.0
0866.7330,-063.8
0866.7440,-064.0
0866.7560,-064.1
0866.7670,-063.9
0866.7780,-063.9
0866.7890,-064.0
0866.8000,-063.9
0866.8110,-063.8
0866.8220,-063.7
0866.8330,-063.8
0866.8440,-063.8
0866.8560,-063.5
0866.8670,-063.6
0866.8780,-063.3
0866.8890,-063.5
0866.9000,-063.2
0866.9110,-062.7
0866.9220,-062.5
0866.9330,-062.6
0866.9440,-062.3
0866.9560,-061.6
0866.9670,-061.9
0866.9780,-061.2
0866.9890,-060.9
0867.0000,-060.7
0867.0110,-060.0
0867.0220,-060.0
0867.0330,-059.4
0867.0440,-058.8
0867.0560,-058.6
0867.0670,-057.8
0867.0780,-056.9
0867.0890,-056.5
0867.1000,-055.6
0867.1110,-055.0
0867.1220,-054.8
0867.1330,-054.2
0867.1440,-053.7
0867.1560,-052.8
0867.1670,-052.2
0867.1780,-051.3
0867.1890,-051.0
0867.2000,-050.4
0867.2110,-049.8
0867.2220,-049.2
0867.2330,-047.8
0867.2440,-047.8
0867.2560,-047.4
0867.2670,-046.8
0867.2780,-046.0
0867.2890,-045.3
0867.3000,-044.6
0867.3110,-044.0
0867.3220,-043.2
0867.3330,-042.2
0867.3440,-040.4
0867.3560,-040.7
0867.3670,-040.1
0867.3780,-039.1
0867.3890,-038.3
0867.4000,-037.8
0867.4110,-037.6
0867.4220,-037.0
0867.4330,-036.9
0867.4440,-036.3
0867.4560,-036.0
0867.4670,-035.7
0867.4780,-035.3
0867.4890,-035.2
0867.5000,-034.5
0867.5110,-034.6
0867.5220,-034.3
0867.5330,-034.0
0867.5440,-034.0
0867.5560,-033.5
0867.5670,-033.5
0867.5780,-033.5
0867.5890,-033.2
0867.6000,-032.7
0867.6110,-032.6
0867.6220,-032.4
0867.6330,-032.5
0867.6440,-032.1
0867.6560,-031.9
0867.6670,-031.4
0867.6780,-031.5
0867.6890,-030.8
0867.7000,-031.5
0867.7110,-031.2
0867.7220,-030.9
0867.7330,-031.0
0867.7440,-030.9
0867.7560,-031.1
0867.7670,-031.2
0867.7780,-030.3
0867.7890,-030.9
0867.8000,-030.8
0867.8110,-030.6
0867.8220,-030.6
0867.8330,-030.9
0867.8440,-030.7
0867.8560,-030.8
0867.8670,-030.0
0867.8780,-030.9
0867.8890,-030.6
0867.9000,-031.0
0867.9110,-030.9
0867.9220,-030.8
0867.9330,-029.9
0867.9440,-030.9
0867.9560,-030.5
0867.9670,-030.7
0867.9780,-030.9
0867.9890,-030.9
0868.0000,-031.0
0868.0110,-031.1
0868.0220,-030.7
0868.0330,-031.2
0868.0440,-031.2
0868.0560,-031.4
0868.0670,-031.3
0868.0780,-031.4
0868.0890,-031.2
0868.1000,-031.4
0868.1110,-031.7
0868.1220,-031.6
0868.1330,-031.6
0868.1440,-031.5
0868.1560,-031.6
0868.1670,-031.6
0868.1780,-031.9
0868.1890,-031.8
0868.2000,-031.7
0868.2110,-031.0
0868.2220,-031.9
0868.2330,-032.2
0868.2440,-032.0
0868.2560,-032.4
0868.2670,-032.4
0868.2780,-032.3
0868.2890,-032.3
0868.3000,-033.1
0868.3110,-033.4
0868.3220,-034.0
0868.3330,-034.0
0868.3440,-034.2
0868.3560,-034.6
0868.3670,-034.2
0868.3780,-035.1
0868.3890,-035.3
0868.4000,-035.6
0868.4110,-035.6
0868.4220,-035.9
0868.4330,-035.9
0868.4440,-036.2
0868.4560,-036.6
0868.4670,-036.8
0868.4780,-037.0
0868.4890,-037.4
0868.5000,-037.6
0868.5110,-038.0
0868.5220,-038.4
0868.5330,-038.8
0868.5440,-039.2
0868.5560,-039.9
0868.5670,-040.3
0868.5780,-041.0
0868.5890,-041.4
0868.6000,-042.4
0868.6110,-042.8
0868.6220,-043.7
0868.6330,-044.2
0868.6440,-045.0
0868.6560,-045.7
0868.6670,-046.0
0868.6780,-047.1
0868.6890,-047.9
0868.7000,-048.3
0868.7110,-049.3
0868.7220,-049.8
0868.7330,-050.1
0868.7440,-050.4
0868.7560,-051.2
0868.7670,-051.3
0868.7780,-052.1
0868.7890,-052.4
0868.8000,-053.1
0868.8110,-053.4
0868.8220,-053.3
0868.8330,-054.6
0868.8440,-055.0
0868.8560,-055.1
0868.8670,-055.9
0868.8780,-056.3
0868.8890,-056.8
0868.9000,-057.3
0868.9110,-057.6
0868.9220,-058.3
0868.9330,-059.2
0868.9440,-059.3
0868.9560,-060.3
0868.9670,-060.7
0868.9780,-061.2
0868.9890,-061.9
0869.0000,-062.1
0869.0110,-062.4
0869.0220,-062.9
0869.0330,-063.1
0869.0440,-063.3
0869.0560,-063.5
0869.0670,-063.6
0869.0780,-063.5
0869.0890,-063.8
0869.1000,-063.6
0869.1110,-063.9
0869.1220,-063.8
0869.1330,-063.9
